label,h1,h2,h3,h4,h5,h6,h7
0,0.0011401054950470142,1.6778532716035693e-07,3.187369192143728e-11,9.366923148607923e-12,-2.2623651087047718e-23,1.7377564549139776e-15,1.602606073936055e-22
0,0.0011771548907058896,2.0435784581972437e-07,1.317897856879921e-11,3.1455458806106483e-12,1.3443726792586537e-23,1.3711166875351342e-15,1.5147336793563925e-23
0,0.001155284972730518,1.3385874953669955e-07,4.830630298618713e-12,1.1071226743886218e-12,2.2676842105605915e-24,3.018875354860966e-16,-1.188648459061847e-24
0,0.0011027426856530663,1.797438060363964e-07,5.2754423307781225e-12,3.517706598711959e-12,-1.457386412360953e-23,7.144310123563593e-16,4.151781922325572e-24
0,0.002083169263245006,6.039155367044284e-07,4.4181064114547703e-10,1.696763887389578e-10,4.2108881980826916e-20,1.2942572254735856e-13,-1.962359285163677e-20
0,0.0015008586472845006,3.6424001904866157e-07,7.631411773127095e-12,2.2888614947713845e-12,-8.339122130822497e-24,1.3088040278063864e-16,4.686999202102402e-24
0,0.000999800474965618,5.181124235274577e-09,1.8688195483800906e-11,3.7160012861851686e-13,6.180429107238211e-25,4.580203376569404e-18,-7.5958586744306575e-25
0,0.0014704148776939288,3.7423911497568196e-07,3.577194139607155e-11,7.992241184807299e-12,1.131978695566754e-22,8.944529488294573e-16,7.381218595272434e-23
0,0.0018239093726641316,6.459270148859696e-07,2.620215531785209e-10,3.897017322860018e-10,1.2087934847989307e-19,3.125642560107517e-13,-2.992333324894878e-20
0,0.0015428024133870674,4.879063229764778e-07,7.97550535980225e-11,6.455384906504194e-11,3.7045353686675335e-21,4.2659108282956374e-14,2.7805082289697137e-21
0,0.0012047504474419779,1.0991455555339786e-07,3.16304828625061e-11,6.684233611169749e-12,-9.603431827917154e-23,-7.708002711862831e-17,-1.4956163269423453e-23
0,0.001636700139962065,7.353242932244761e-07,1.8610838627546536e-11,5.293353630308981e-11,1.4652621573115079e-21,2.8094180991165993e-14,-7.831487484912252e-22
0,0.001302516957826252,2.0662631289285892e-07,4.807227332150917e-11,1.7874640005842295e-12,-1.635161396283058e-23,-5.496572894991287e-16,-2.6768109152377723e-24
0,0.0010786099871136932,1.668782851315836e-08,6.397390131022622e-13,2.342087621645058e-12,1.948508175357727e-24,2.8766633109845683e-16,2.1029000362256447e-24
0,0.0009500926433851328,5.623689005419761e-09,5.668996719068347e-12,2.859624848171769e-12,-1.0568080373596383e-23,1.791484928223266e-16,-4.569688792611453e-24
0,0.001392444654298889,6.540601033441597e-08,9.332509341313374e-12,1.0003349034287323e-11,7.862390346414623e-23,2.554145436930318e-15,-5.621539605897232e-23
0,0.0013980021225972036,5.453386879017519e-08,8.95915620061831e-12,4.521473615103066e-12,-2.489524541863449e-23,-4.639775184403974e-16,1.443513567007794e-23
0,0.0012092813805807258,2.9948252343756703e-07,5.9403750207393e-11,2.9670195667252746e-11,1.22894950658928e-21,1.5699687089557663e-14,2.0314133614046213e-22
0,0.001135828474777663,1.1102339954214642e-07,5.392316726260545e-11,2.358604016196303e-12,2.2575420376963436e-23,-2.068470992359807e-16,1.4066743903815573e-23
0,0.0011370947215933206,6.248578994507895e-08,5.507137668080542e-11,1.781069579053409e-11,3.971279201187941e-22,4.402247283724707e-15,3.917123242214913e-22
0,0.001332053385995843,4.233135040045112e-07,1.9561561327865997e-11,2.3861889070915552e-12,-1.5670481563826022e-23,1.0242988758646337e-15,-4.495927859634435e-24
0,0.001047687204734674,1.7367308721418194e-07,5.237045259004102e-13,1.0554020524503165e-12,5.6284075203080725e-25,3.934643620809629e-16,5.466892563235344e-25
0,0.0013125169070566656,4.913483104970736e-07,4.512807945840544e-11,1.5483503945291245e-11,1.5342355931503669e-22,3.827291446822831e-15,3.7944242969115975e-22
0,0.0012295671317989363,8.08813728397531e-08,2.1609736890631236e-11,1.5340204442664311e-12,4.540554717790805e-24,1.8975115599383842e-16,-7.575753530719277e-24
0,0.0012448440105719862,9.630403683557308e-08,3.3705710698617214e-11,2.1104773757311496e-13,-4.4858060696434565e-25,-5.301522177472341e-17,3.400286973284082e-25
0,0.0013664706039837656,4.896208370384085e-07,6.295130277272803e-11,3.710693514003154e-11,1.7774816462061e-21,2.4545639020879296e-14,2.3865966527335943e-22
0,0.00115968341876243,1.8789810377720528e-07,2.1413801498122676e-12,2.3454069028353316e-12,5.067900254332041e-24,4.47421187212946e-16,1.3943881982229035e-24
0,0.0014701704619244048,3.3559354384457347e-07,8.003513068819143e-12,4.317933990659553e-12,1.3850890306159404e-23,-6.949103390126087e-16,2.1271654532081698e-23
0,0.0009306762174456167,1.8393647246069605e-08,1.5266684171337158e-12,5.078255631136409e-13,-1.7264692721304322e-26,-6.862515364367519e-17,4.468072656860059e-25
0,0.0011277637983727765,2.5604868922981777e-08,3.6889590946327925e-11,5.01979294421301e-12,3.204085186363536e-23,1.0428355351007396e-16,-6.032877643139167e-23
0,0.0011386654045719507,1.6701976704959232e-07,1.4128680531190979e-11,1.8900611585532744e-13,-1.840572367814667e-25,-7.13877445433977e-17,-2.480296688164156e-25
0,0.0011656400243976192,1.282198406655124e-07,5.3727106933001216e-11,1.0288611869527108e-11,-1.7419159694528087e-22,1.6461743823778345e-15,1.678446580734363e-22
0,0.0009816174398934562,5.111535095232022e-08,2.4427048572478624e-11,1.5710260360026825e-11,2.7168670534143503e-22,3.4406162240901895e-15,1.4457473211494835e-22
0,0.0012440569893608898,7.509611263745792e-08,5.457408821578475e-11,6.455610343801396e-12,-1.2476986763518798e-23,-1.7661268866241912e-15,1.2052705460689096e-22
0,0.0009268912551761391,4.052151579621262e-08,1.3983484237127386e-12,7.389632648390535e-13,-6.611101290321227e-25,1.189700271600642e-16,3.566503594992707e-25
0,0.0009908100540335484,3.5970348241712514e-08,8.584805275360407e-12,3.401865161098988e-13,-2.4774131309325996e-25,6.451729365061013e-17,5.259249287910359e-25
0,0.001051230717061933,7.491760758679307e-08,2.712029098350121e-12,2.4893240886928188e-12,6.367932542278278e-24,6.800875281274285e-16,-1.1332823399807386e-24
0,0.0010365246275235698,3.844323670246774e-08,4.594269812370104e-11,2.7748950251564908e-12,-1.2586377335149815e-23,5.037399299690027e-16,2.8692019403625904e-23
0,0.0009842980999404147,4.435770934136668e-08,4.410182959976986e-12,2.928661001017364e-12,-8.526815043736263e-24,5.86197071286178e-16,-6.17041957760113e-24
0,0.0010331463149953653,9.259085430913464e-08,2.6035144400318784e-11,1.6863633162236474e-12,-9.719694819823406e-24,-2.6165807288785073e-17,5.512230597391265e-24
0,0.0015234094594791677,7.117711287596115e-07,9.71294529817028e-11,3.806775739458289e-11,-5.832304776145522e-22,3.0167894432876314e-15,2.2401094495308072e-21
0,0.0008730971854151236,3.119426697288126e-08,2.1024357639606025e-11,2.2265621512508336e-13,-4.391024992867833e-25,9.347181408083001e-18,-1.9814988547755488e-25
0,0.0014816809536960102,1.3886166187366552e-07,6.951826863688717e-11,7.791878117473376e-12,4.549572679785438e-23,1.7119899542268828e-15,-1.7554835582440103e-22
0,0.0009503967588094532,1.063114159781712e-07,5.311720503018832e-12,1.2222673759465694e-12,2.978027520647588e-24,3.984882403111732e-16,-9.11321309374449e-25
0,0.001172536159296729,5.259243694805885e-08,1.885730653199236e-11,1.6353079503829673e-11,2.8665251302864653e-22,3.728539942826753e-15,1.7233042097513724e-23
0,0.0012236442796083934,2.9023553969030886e-08,1.0309899654017201e-12,2.14149896260726e-12,2.7528716365132424e-24,3.5667490217529764e-16,1.5959326749848173e-24
0,0.001427781399934888,1.8951704166751917e-07,3.5119890140143465e-11,1.758209026058617e-11,5.594679190329224e-23,6.140078750541067e-15,4.333033801065077e-22
0,0.001084511389497229,1.9995589171192828e-07,1.246788239218274e-12,6.041930458457723e-13,-3.81501309360707e-25,-3.0567324510736077e-17,-3.597896983528731e-25
0,0.0011392654110206546,9.200705869437721e-08,4.515936563276992e-11,3.3549725751066916e-11,1.3058826185029138e-21,9.471115682212727e-15,-5.0416225545305156e-24
0,0.001506872823473112,2.0523043363132545e-07,1.2600781671277546e-13,1.5269381079571396e-11,1.7801999441478537e-23,6.517429635379119e-15,1.1475688141481264e-23
0,0.00111127976533133,9.972841876035661e-08,4.4442416117381365e-11,3.3360698019216163e-12,-3.9306411525068383e-23,-4.864926983495865e-16,1.0250785149169251e-23
0,0.0012155601199805531,1.7634648751575987e-07,1.1944476595430997e-11,1.674787361115573e-11,-1.2385361890670918e-22,6.746964737608666e-15,-2.0191840111743006e-22
0,0.0013595012209183578,1.8560527904033055e-07,3.63562433341949e-11,3.7567542784873286e-11,-1.0347599247303353e-21,1.80840123668248e-15,-9.256748395671772e-22
